id,x,y,r,환승,역명,색목록
423,1863.48,2296.1,2.9,N,보정,#eca300
424,1811.2,2296.17,3.15,Y,구성,#a35e8c|#eca300
425,1762.27,2296.1,2.9,N,신갈,#eca300
426,1278.69,2296.1,2.9,N,매교,#eca300
427,1341.12,2296.1,2.9,N,수원시청,#eca300
428,1403.56,2296.1,2.9,N,매탄권선,#eca300
429,1465.99,2296.1,2.9,N,망포,#eca300
430,1528.43,2296.1,2.9,N,영통,#eca300
431,1590.86,2296.1,2.9,N,청명,#eca300
432,1653.3,2296.1,2.9,N,상갈,#eca300
433,1146.82,2296.1,2.9,N,고색,#eca300
434,1100.61,2296.1,2.9,N,오목천,#eca300
435,1054.72,2296.1,2.9,N,어천,#eca300
436,966.02,2296.1,2.9,N,사리,#eca300
437,1011.25,2296.1,2.9,N,야목,#eca300
438,413.48,2116.29,2.9,N,남동인더스파크,#eca300
439,413.48,2145.9,2.9,N,호구포,#eca300
440,413.48,2175.51,2.9,N,인천논현,#eca300
441,413.48,2205.11,2.9,N,소래포구,#eca300
442,413.48,2234.72,2.9,N,월곶,#eca300
443,413.48,2264.33,2.9,N,달월,#eca300
444,224.09,2012.7,2.9,N,신포,#eca300
445,224.09,2045.81,2.9,N,숭의,#eca300
446,224.03,2077.5,2.9,N,인하대,#eca300
447,245.24,2099.91,2.9,N,송도,#eca300
448,287.8,2099.9,2.9,N,연수,#eca300
449,224.02,1845.53,2.9,N,도화,#004b84
450,224.02,1876.96,2.9,N,제물포,#004b84
451,224.02,1908.38,2.9,N,도원,#004b84
452,224.02,1939.8,2.9,N,동인천,#004b84
453,224.02,1668.76,2.9,N,백운,#004b84
454,224.02,1699.86,2.9,N,동암,#004b84
455,224.02,1730.96,2.9,N,간석,#004b84
456,129.99,838.1,2.9,N,왕길,#f4a463
457,129.99,802.66,2.9,N,검단오류,#f4a463
458,129.99,873.54,2.9,N,검단사거리,#f4a463
459,129.99,908.98,2.9,N,마전,#f4a463
460,129.99,944.42,2.9,N,완정,#f4a463
461,129.99,979.86,2.9,N,독정,#f4a463
462,129.99,1158.42,2.9,N,아시아드경기장,#f4a463
463,129.99,1090.83,2.9,N,검바위,#f4a463
464,129.99,1222.99,2.9,N,서구청,#f4a463
465,129.99,1291.22,2.9,N,가정,#f4a463
466,129.99,1361.69,2.9,N,가정중앙시장,#f4a463
467,129.99,1530.08,2.9,N,가재울,#f4a463
468,155.66,1710.88,2.9,N,주안국가산단,#f4a463
469,259.73,1794.48,2.9,N,시민공원,#f4a463
470,307.86,1794.48,2.9,N,석바위시장,#f4a463
471,440.06,1820.08,2.9,N,석천사거리,#f4a463
472,440.06,1857.21,2.9,N,모래내시장,#f4a463
473,440.06,1894.34,2.9,N,만수,#f4a463
474,440.06,1931.46,2.9,N,남동구청,#f4a463
475,440.07,2005.72,2.9,N,운연,#f4a463
476,440.07,1968.59,2.9,N,인천대공원,#f4a463
477,52.92,1093.66,2.9,N,청라국제도시,#006390
478,52.92,1864.28,2.9,N,영종,#006390
479,52.92,2048.5,2.9,N,공항화물청사,#006390
480,52.92,1956.39,2.9,N,운서,#006390
481,52.92,2140.6,2.9,N,인천공항1터미널,#006390
482,52.92,2232.71,2.9,N,인천공항2터미널,#006390
483,107.39,672.03,2.9,N,구래,#957326
484,77.49,642.13,2.9,N,양촌,#957326
485,137.3,701.94,2.9,N,마산,#957326
486,167.2,731.84,2.9,N,장기,#957326
487,197.1,761.75,2.9,N,운양,#957326
488,227.01,791.65,2.9,N,걸포북변,#957326
489,256.91,821.55,2.9,N,사우,#957326
490,286.82,851.46,2.9,N,풍무,#957326
491,316.72,881.36,2.9,N,고촌,#957326
492,586.87,522.84,2.9,N,화정,#eb6101
493,632.77,522.84,2.9,N,원당,#eb6101
494,678.67,522.84,2.9,N,원흥,#eb6101
495,770.55,522.84,2.9,N,지축,#eb6101
496,724.62,522.84,2.9,N,삼송,#eb6101
497,236.79,1379.79,2.9,N,갈산,#86b3e0
498,516.81,589.7,3.15,Y,능곡,#4da635|#6bc2b3
499,312.62,496.86,2.9,N,주엽,#eb6101
500,282.02,466.07,2.9,N,대화,#eb6101
501,1203.45,2367.3,2.9,N,,#9a958c
502,1029.29,2464.1,2.9,N,진위,#004b84
503,994.39,2472.37,2.9,N,송탄,#004b84
504,893.21,2472.37,2.9,N,평택지제,#004b84
505,786.35,2472.37,2.9,N,,#004b84
506,679.82,2472.37,2.9,N,,#004b84
507,626.28,2472.37,2.9,N,,#004b84
508,946.76,2472.37,2.9,N,서정리,#004b84
509,839.84,2472.37,2.9,N,평택,#004b84
510,733.35,2472.37,2.9,N,,#004b84
511,251.54,2472.37,2.9,N,,#004b84
512,305.07,2472.37,2.9,N,,#004b84
513,358.61,2472.37,2.9,N,,#004b84
514,412.14,2472.37,2.9,N,,#004b84
515,465.68,2472.37,2.9,N,,#004b84
